Title: The Spatial Structure of Young Stellar Clusters. I. Subclusters 
Authors: Kuhn M.A., Feigelson E.D., Getman K.V., Baddeley A.J., Broos P.S., 
         Sills A., Bate M.R., Povich M.S., Luhman K.L., Busk H.A., Naylor T., 
         King R.R. 
Table: Star Positions in the Statistical Sample
================================================================================
Byte-by-byte Description of file: stars_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label        Explanations
--------------------------------------------------------------------------------
   1-  7 A7     ---   target       MYStIX region name
   9- 26 A18    ---   designation  MPCM source designation (1)
  28- 38 F11.7  deg   RAdeg        Right Ascension in decimal degrees (J2000)
  40- 50 F11.7  deg   DEdeg        Declination in decimal degrees (J2000)
--------------------------------------------------------------------------------
Note (1): MPCM are MYStIX Probable Complex Members, which are defined by 
          Broos et al. (2013).
--------------------------------------------------------------------------------
orion   053510.42-053008.0  83.7934341  -5.5022259
orion   053510.59-052156.1  83.7941360  -5.3656011
orion   053510.54-052216.4  83.7939224  -5.3712411
orion   053510.59-052244.7  83.7941513  -5.3790922
orion   053510.55-052416.6  83.7939682  -5.4046330
orion   053510.53-052544.5  83.7938843  -5.4290371
orion   053510.51-052618.3  83.7938156  -5.4384298
orion   053510.59-053313.2  83.7941513  -5.5536828
orion   053510.62-052256.0  83.7942505  -5.3822451
orion   053510.65-052303.4  83.7943802  -5.3842831
orion   053510.68-052332.7  83.7945328  -5.3924370
orion   053510.71-052220.1  83.7946472  -5.3722682
orion   053510.74-052344.7  83.7947540  -5.3957529
orion   053510.75-052628.1  83.7947922  -5.4411502
orion   053510.83-051732.8  83.7951279  -5.2924581
orion   053510.82-052148.6  83.7950974  -5.3635230
orion   053510.84-052556.9  83.7951965  -5.4324961
orion   053510.85-052804.6  83.7952194  -5.4679499
orion   053510.99-052224.6  83.7957993  -5.3735180
orion   053510.96-052227.6  83.7956772  -5.3743601
orion   053510.90-052246.3  83.7954483  -5.3795519
orion   053510.95-052448.6  83.7956467  -5.4135098
orion   053510.90-052800.8  83.7954178  -5.4669089
orion   053511.00-051521.9  83.7958679  -5.2561030
orion   053511.04-052246.5  83.7960281  -5.3795948
orion   053511.18-051935.6  83.7966232  -5.3265719
orion   053511.16-052532.2  83.7965317  -5.4256220
orion   053511.14-053459.6  83.7964325  -5.5832329
orion   053511.22-051720.8  83.7967606  -5.2891188
orion   053511.20-052237.6  83.7966919  -5.3771348
orion   053511.27-052416.3  83.7969818  -5.4045429
orion   053511.39-051912.1  83.7974777  -5.3200302
orion   053511.31-052115.4  83.7971497  -5.3543038
orion   053511.32-052438.1  83.7971802  -5.4106011
orion   053511.45-051403.8  83.7977219  -5.2343988
orion   053511.43-052144.4  83.7976532  -5.3623509
orion   053511.48-052351.9  83.7978363  -5.3977671
orion   053511.50-052106.2  83.7979507  -5.3517370
orion   053511.53-052340.2  83.7980804  -5.3945060
orion   053511.56-052448.0  83.7982025  -5.4133558
orion   053511.53-052459.9  83.7980576  -5.4166460
orion   053511.53-052553.1  83.7980499  -5.4314170
orion   053511.50-052602.3  83.7979355  -5.4339919
orion   053511.63-051657.8  83.7984772  -5.2827229
orion   053511.63-051912.2  83.7984924  -5.3200698
orion   053511.66-052421.5  83.7985992  -5.4059968
orion   053511.67-052608.7  83.7986526  -5.4357572
orion   053511.62-052729.0  83.7984238  -5.4580650
orion   053511.64-053101.6  83.7985229  -5.5171361
orion   053511.79-052155.2  83.7991486  -5.3653598
orion   053511.71-052330.5  83.7988281  -5.3918219
orion   053511.74-052333.5  83.7989197  -5.3926420
orion   053511.72-052340.4  83.7988586  -5.3945651
orion   053511.72-052512.7  83.7988739  -5.4202151
orion   053511.79-052730.8  83.7991562  -5.4585638
orion   053511.86-051726.1  83.7994385  -5.2905931
orion   053511.81-051834.3  83.7992249  -5.3095441
orion   053511.85-052100.1  83.7994080  -5.3500509
orion   053511.89-052103.3  83.7995529  -5.3509302
orion   053511.80-052149.1  83.7991867  -5.3636661
orion   053511.90-051926.1  83.7995911  -5.3239369
orion   053511.90-052001.8  83.7996216  -5.3338571
orion   053511.97-052032.9  83.7999039  -5.3424969
orion   053511.98-052254.0  83.7999344  -5.3816762
orion   053511.96-052845.1  83.7998352  -5.4792089
orion   053511.96-052932.4  83.7998352  -5.4923382
orion   053511.90-053155.1  83.7995834  -5.5319920
orion   053512.08-051924.6  83.8003540  -5.3235178
orion   053512.06-052808.0  83.8002625  -5.4688978
orion   053512.13-052433.9  83.8005524  -5.4094191
orion   053512.13-052447.8  83.8005524  -5.4132791
orion   053512.18-053020.7  83.8007660  -5.5057759
orion   053512.16-053138.4  83.8006744  -5.5273581
orion   053512.27-052045.0  83.8011627  -5.3458428
orion   053512.28-052348.0  83.8012009  -5.3966818
orion   053512.26-052424.4  83.8010864  -5.4067960
orion   053512.20-052456.3  83.8008652  -5.4156551
orion   053512.23-053032.4  83.8009872  -5.5090132
orion   053512.39-052047.9  83.8016281  -5.3466401
orion   053512.35-052241.2  83.8014603  -5.3781352
orion   053512.39-052351.7  83.8016281  -5.3976970
orion   053512.57-051633.5  83.8023987  -5.2759752
orion   053512.59-051945.3  83.8024902  -5.3292751
orion   053512.58-052301.8  83.8024216  -5.3838558
orion   053512.50-052438.0  83.8021011  -5.4105711
orion   053512.69-051935.3  83.8029099  -5.3264751
orion   053512.60-052042.8  83.8025360  -5.3452382
orion   053512.66-052204.9  83.8027802  -5.3680530
orion   053512.60-052344.1  83.8025284  -5.3955898
orion   053512.72-051613.5  83.8030167  -5.2704301
orion   053512.75-051652.8  83.8031311  -5.2813601
orion   053512.76-051927.5  83.8031769  -5.3243170
orion   053512.77-052034.7  83.8032455  -5.3429990
orion   053512.79-052038.9  83.8033218  -5.3441539
orion   053512.70-052426.4  83.8029404  -5.4073558
orion   053512.72-052710.7  83.8030014  -5.4529738
orion   053512.83-051524.1  83.8034897  -5.2567101
orion   053512.88-051548.8  83.8036880  -5.2635660
orion   053512.82-052043.5  83.8034363  -5.3454289
orion   053512.89-052133.7  83.8037262  -5.3593702
orion   053512.85-052133.9  83.8035583  -5.3594298
orion   053512.88-052351.4  83.8036804  -5.3976150
orion   053512.97-052330.0  83.8040695  -5.3916759
orion   053512.97-052354.8  83.8040695  -5.3985581
orion   053512.94-052457.8  83.8039398  -5.4160690
orion   053512.95-052849.6  83.8039856  -5.4804492
orion   053513.01-051904.2  83.8042450  -5.3178482
orion   053513.04-052030.1  83.8043747  -5.3417120
orion   053513.06-052153.1  83.8044205  -5.3647690
orion   053513.03-052200.8  83.8043060  -5.3669052
orion   053513.05-052215.0  83.8043900  -5.3708549
orion   053513.09-052253.1  83.8045502  -5.3814311
orion   053513.18-051730.7  83.8049316  -5.2918668
orion   053513.11-052113.3  83.8046341  -5.3536949
orion   053513.17-052221.0  83.8049011  -5.3725190
orion   053513.11-052250.5  83.8046570  -5.3807182
orion   053513.19-052752.8  83.8049927  -5.4646702
orion   053513.22-052052.6  83.8050842  -5.3479528
orion   053513.24-052209.7  83.8051834  -5.3693810
orion   053513.21-052254.7  83.8050461  -5.3818750
orion   053513.28-052257.6  83.8053589  -5.3826828
orion   053513.26-052330.2  83.8052597  -5.3917398
orion   053513.23-052355.4  83.8051529  -5.3987288
orion   053513.20-052455.5  83.8050232  -5.4154229
orion   053513.26-052754.0  83.8052673  -5.4650202
orion   053513.31-052018.8  83.8054657  -5.3385620
orion   053513.39-052051.4  83.8057938  -5.3476319
orion   053513.37-052226.0  83.8057098  -5.3739161
orion   053513.30-052239.1  83.8054581  -5.3775320
orion   053513.31-052353.0  83.8054886  -5.3980699
orion   053513.38-052353.1  83.8057632  -5.3981090
orion   053513.38-052817.7  83.8057709  -5.4716048
orion   053513.47-051710.4  83.8061447  -5.2862411
orion   053513.43-052107.2  83.8059921  -5.3520160
orion   053513.45-052340.3  83.8060532  -5.3945289
orion   053513.49-053047.9  83.8062210  -5.5133228
orion   053513.52-051717.0  83.8063507  -5.2880630
orion   053513.57-051745.7  83.8065643  -5.2960339
orion   053513.58-051857.2  83.8066025  -5.3159099
orion   053513.59-052031.3  83.8066483  -5.3420300
orion   053513.52-052219.4  83.8063583  -5.3720789
orion   053513.52-052304.4  83.8063507  -5.3845730
orion   053513.53-052330.8  83.8063965  -5.3919091
orion   053513.59-052355.2  83.8066406  -5.3986921
orion   053513.55-052359.6  83.8064651  -5.3999071
orion   053513.52-052501.2  83.8063354  -5.4170089
orion   053513.54-052728.6  83.8064194  -5.4579701
orion   053513.57-052757.2  83.8065796  -5.4658899
orion   053513.58-053508.1  83.8066101  -5.5855999
orion   053513.62-051832.8  83.8067780  -5.3091168
orion   053513.63-051954.7  83.8067932  -5.3318839
orion   053513.61-052121.0  83.8067398  -5.3558550
orion   053513.69-052256.2  83.8070602  -5.3822842
orion   053513.61-052425.7  83.8067474  -5.4071479
orion   053513.67-052846.2  83.8069687  -5.4795170
orion   053513.61-053057.4  83.8067245  -5.5159469
orion   053513.79-051925.3  83.8074875  -5.3237090
orion   053513.72-052135.8  83.8071976  -5.3599539
orion   053513.77-052217.3  83.8074036  -5.3714900
orion   053513.74-052221.9  83.8072891  -5.3727770
orion   053513.69-052230.4  83.8070831  -5.3751149
orion   053513.77-053454.7  83.8074036  -5.5818720
orion   053513.81-052202.8  83.8075638  -5.3674622
orion   053513.80-052206.9  83.8075256  -5.3686090
orion   053513.83-052209.0  83.8076477  -5.3691869
orion   053513.88-052426.1  83.8078537  -5.4072599
orion   053513.83-052737.0  83.8076630  -5.4603000
